record,sample,symbol,label
100,77,N,0
100,370,N,0
100,662,N,0
100,946,N,0
100,1231,N,0
100,1515,N,0
100,1809,N,0
100,2044,A,1
100,2402,N,0
100,2706,N,0
100,2998,N,0
100,3282,N,0
100,3560,N,0
100,3862,N,0
100,4170,N,0
100,4466,N,0
100,4764,N,0
100,5060,N,0
100,5346,N,0
100,5633,N,0
100,5918,N,0
100,6214,N,0
100,6527,N,0
100,6823,N,0
100,7106,N,0
100,7391,N,0
100,7670,N,0
100,7953,N,0
100,8245,N,0
100,8539,N,0
100,8837,N,0
100,9141,N,0
100,9431,N,0
100,9710,N,0
100,9998,N,0
100,10282,N,0
100,10591,N,0
100,10894,N,0
100,11191,N,0
100,11480,N,0
100,11781,N,0
100,12066,N,0
100,12350,N,0
100,12645,N,0
100,12949,N,0
100,13266,N,0
100,13562,N,0
100,13842,N,0
100,14131,N,0
100,14423,N,0
100,14710,N,0
100,15011,N,0
100,15310,N,0
100,15607,N,0
100,15899,N,0
100,16183,N,0
100,16464,N,0
100,16755,N,0
100,17058,N,0
100,17358,N,0
100,17657,N,0
100,17947,N,0
100,18227,N,0
100,18514,N,0
100,18795,N,0
100,19080,N,0
100,19388,N,0
100,19693,N,0
100,19989,N,0
100,20271,N,0
100,20554,N,0
100,20837,N,0
100,21131,N,0
100,21423,N,0
100,21729,N,0
100,22029,N,0
100,22321,N,0
100,22603,N,0
100,22881,N,0
100,23164,N,0
100,23453,N,0
100,23756,N,0
100,24053,N,0
100,24345,N,0
100,24625,N,0
100,24913,N,0
100,25197,N,0
100,25485,N,0
100,25779,N,0
100,26088,N,0
100,26387,N,0
100,26670,N,0
100,26952,N,0
100,27237,N,0
100,27536,N,0
100,27833,N,0
100,28132,N,0
100,28431,N,0
100,28727,N,0
100,29014,N,0
100,29294,N,0
100,29580,N,0
100,29873,N,0
100,30182,N,0
100,30487,N,0
100,30779,N,0
100,31065,N,0
100,31348,N,0
100,31635,N,0
100,31927,N,0
100,32224,N,0
100,32529,N,0
100,32836,N,0
100,33127,N,0
100,33403,N,0
100,33691,N,0
100,33980,N,0
100,34274,N,0
100,34575,N,0
100,34870,N,0
100,35168,N,0
100,35455,N,0
100,35736,N,0
100,36016,N,0
100,36309,N,0
100,36605,N,0
100,36916,N,0
100,37215,N,0
100,37499,N,0
100,37782,N,0
100,38071,N,0
100,38356,N,0
100,38651,N,0
100,38950,N,0
100,39252,N,0
100,39547,N,0
100,39825,N,0
100,40096,N,0
100,40382,N,0
100,40677,N,0
100,40970,N,0
100,41271,N,0
100,41567,N,0
100,41849,N,0
100,42117,N,0
100,42416,N,0
100,42697,N,0
100,42996,N,0
100,43307,N,0
100,43603,N,0
100,43892,N,0
100,44172,N,0
100,44455,N,0
100,44743,N,0
100,45030,N,0
100,45323,N,0
100,45628,N,0
100,45925,N,0
100,46204,N,0
100,46478,N,0
100,46759,N,0
100,47037,N,0
100,47334,N,0
100,47632,N,0
100,47919,N,0
100,48202,N,0
100,48486,N,0
100,48766,N,0
100,49040,N,0
100,49323,N,0
100,49618,N,0
100,49923,N,0
100,50214,N,0
100,50491,N,0
100,50771,N,0
100,51056,N,0
100,51339,N,0
100,51626,N,0
100,51921,N,0
100,52216,N,0
100,52506,N,0
100,52784,N,0
